30.00,27.18,56.47,47.75,551917.44,3090.59,4.75
23.33,27.20,56.32,47.66,353411.69,2995.40,4.57
40.83,27.22,55.69,47.66,223659.52,2900.76,4.41
45.00,27.23,55.79,47.66,223659.52,2900.76,4.41
39.17,27.24,55.41,47.56,177107.42,2853.64,4.32
45.00,27.25,55.55,47.56,139797.53,2806.65,4.24
48.33,27.25,55.29,47.46,139797.53,2806.65,4.24
47.50,27.25,55.21,47.46,109986.82,2759.81,4.16
48.33,27.25,55.18,47.56,109986.82,2759.81,4.16
50.00,27.26,55.18,47.46,86240.17,2713.10,4.07
41.67,27.26,54.91,47.56,86240.17,2713.10,4.07
0.00,27.31,55.37,47.46,86240.17,2713.10,4.07
22.50,27.31,55.04,64.94,86240.17,2713.10,4.07
20.83,27.33,55.08,34.86,67386.00,2666.53,3.99
0.00,27.37,54.91,34.96,52465.59,2620.11,3.91
19.17,27.39,55.11,34.96,52465.59,2620.11,3.91
10.00,27.44,56.02,34.86,52465.59,2620.11,3.91
0.00,27.49,56.54,35.16,139797.53,2806.65,4.24
0.00,27.52,56.86,141.02,1.95,359.00,10.82
22.50,27.54,56.72,136.33,1.91,518.00,6.67
0.00,27.58,55.65,47.56,0.43,1152.24,1.49
23.33,27.58,56.56,47.56,0.43,1152.24,1.49
17.50,27.60,56.87,47.56,0.26,1112.74,1.43
18.33,27.61,55.37,47.56,0.26,1112.74,1.43
0.00,27.79,56.23,0.00,0.00,0.00,0.00
25.00,27.74,55.84,0.00,0.00,0.00,0.00
31.67,27.76,56.22,0.00,0.00,0.00,0.00
0.00,27.76,54.71,0.00,0.00,0.00,0.00
0.00,27.77,55.43,47.66,0.90,1212.85,1.59
25.00,27.80,55.03,47.66,0.90,1212.85,1.59
0.00,27.75,54.09,47.56,0.90,1212.85,1.59
33.33,27.76,54.10,47.66,0.90,1212.85,1.59
16.67,27.78,54.84,47.56,0.90,1212.85,1.59
0.00,27.34,53.38,49.41,389968928.00,4897.69,8.14
145.83,27.33,51.45,49.41,3156109.75,3492.90,5.48
0.00,27.18,51.50,48.93,513644.06,3075.04,4.72
156.67,27.09,51.05,49.12,234999.56,2910.84,4.42
0.00,26.67,53.86,48.73,709984192.00,5108.03,8.55
200.83,26.66,54.10,48.63,7837719.00,3723.14,5.90
0.00,26.60,53.46,48.73,522761.84,3078.84,4.72
186.67,26.61,53.65,48.93,874381.63,3192.02,4.93
195.00,26.67,57.61,48.63,1124912.50,3248.96,5.03
164.17,26.63,53.73,48.54,1442370.75,3306.13,5.14
59.17,26.63,53.60,48.63,2081440.87,3392.34,5.29
215.83,26.64,53.70,48.73,2348408.50,3421.19,5.35
190.83,26.63,54.60,48.73,2982559.75,3479.06,5.45
170.83,26.63,53.89,48.73,2647558.75,3450.10,5.40
203.33,26.70,54.48,48.54,1843378.62,3363.55,5.24
210.83,26.66,53.56,48.63,1843378.62,3363.55,5.24
210.00,26.66,53.82,48.73,1843378.62,3363.55,5.24
215.00,26.67,53.59,48.73,1442370.75,3306.13,5.14
213.33,26.65,53.66,48.83,1124912.50,3248.96,5.03
218.33,26.66,53.73,48.93,874381.63,3192.02,4.93
177.50,26.67,53.56,48.93,677293.19,3135.31,4.83
0.00,26.69,54.86,47.95,186.65,1763.85,2.46
155.83,26.66,53.67,48.05,354.29,1845.00,2.59
0.00,26.55,53.03,47.66,1714674.50,3346.50,5.21
209.17,26.58,53.46,47.66,602486.38,3109.67,4.78
0.00,26.58,52.63,47.56,421308.91,3032.58,4.64
0.00,29.22,41.54,48.24,ovf,6046.26,10.42
31.67,29.29,41.56,49.02,11128611.00,3815.88,6.08
30.00,29.31,41.51,48.93,1012531.50,3225.05,4.99
35.00,29.32,42.04,48.93,189013.48,2866.70,4.35
37.50,29.32,41.64,48.73,63632.11,2655.83,3.97
35.00,29.32,41.75,48.83,35965.07,2551.59,3.79
39.17,29.32,41.79,48.93,16310.38,2413.85,3.55
39.17,29.33,41.79,48.93,8796.99,2311.49,3.38
0.00,29.34,42.08,48.83,5756.67,2243.72,3.26
29.17,29.40,42.52,48.73,3727.50,2176.31,3.15
37.50,29.36,40.88,48.83,1510.54,2042.64,2.92
36.67,29.38,41.15,48.93,1510.54,2042.64,2.92
32.50,29.34,40.72,48.83,944.15,1976.37,2.81
36.67,29.31,40.76,48.73,944.15,1976.37,2.81
35.00,29.30,40.64,48.73,742.82,1943.39,2.76
31.67,29.34,40.71,48.83,582.44,1910.50,2.70
35.00,29.37,40.54,48.73,582.44,1910.50,2.70
33.33,29.37,40.73,48.63,455.11,1877.71,2.65
34.17,29.39,40.23,48.73,354.34,1845.01,2.59
34.17,29.39,40.41,48.73,354.34,1845.01,2.59
35.83,29.39,40.21,48.73,274.87,1812.42,2.54
37.50,29.39,39.28,48.63,212.41,1779.93,2.49
36.67,29.38,39.60,48.63,212.41,1779.93,2.49
37.50,29.38,39.63,48.63,212.41,1779.93,2.49
35.83,29.38,39.66,48.63,212.41,1779.93,2.49
29.17,29.41,39.49,48.83,212.41,1779.93,2.49
29.17,29.47,39.29,48.83,212.41,1779.93,2.49
35.00,29.45,38.87,48.73,125.34,1715.24,2.38
37.50,29.52,39.05,48.83,125.34,1715.24,2.38
37.50,29.49,38.70,48.73,72.73,1650.97,2.28
0.00,29.50,39.00,48.73,72.73,1650.97,2.28
38.33,29.49,39.12,48.73,72.73,1650.97,2.28
0.00,29.49,39.56,48.73,125.34,1715.24,2.38
35.83,29.47,39.23,48.83,125.34,1715.24,2.38
35.83,29.49,39.31,48.83,125.34,1715.24,2.38
0.00,29.51,38.79,48.73,125.34,1715.24,2.38
